song_id,song_title,original_folder,download_log_row,manifest_source_file,cpdl_source_title,cpdl_media_filename,cpdl_media_url,edition_license,editor,cpdl_number,posted_date,cpdl_work_page,rights_review_status
127,Laudate pueri Dominum (Felice Anerio),1048,1048,1048.xml,Laudate pueri Dominum (Felice Anerio),Laudate_pueri_Dominum_Anerio_tr.mxl,https://www.cpdl.org/wiki/images/0/02/Laudate_pueri_Dominum_Anerio_tr.mxl,CPDL,James Gibb,28061,2013-01-16,https://www.cpdl.org/wiki/index.php/Laudate_pueri_Dominum_(Felice_Anerio),redistributable_cpdl_terms
128,A prayer (Giles Farnaby),1051,1051,1051.xml,A prayer (Giles Farnaby),Farnaby-Prayer.mxl,https://www.cpdl.org/wiki/images/b/bd/Farnaby-Prayer.mxl,CPDL,André Vierendeels,41152,2016-09-17,https://www.cpdl.org/wiki/index.php/A_prayer_(Giles_Farnaby),redistributable_cpdl_terms
130,Je nose estre content (Claudin de Sermisy),1121,1121,1121.xml,Je nose estre content (Claudin de Sermisy),Sermisy-Je_nose_estre_content.mxl,https://www.cpdl.org/wiki/images/c/c9/Sermisy-Je_nose_estre_content.mxl,CPDL,André Vierendeels,49526,2018-05-02,https://www.cpdl.org/wiki/index.php/Je_nose_estre_content_(Claudin_de_Sermisy),redistributable_cpdl_terms
135,"O sing unto the Lord, Z 44 (Henry Purcell)",1163,1163,1163.xml,"O sing unto the Lord, Z 44 (Henry Purcell)",Declare_his_honour_Purcell.mxl,https://www.cpdl.org/wiki/images/0/03/Declare_his_honour_Purcell.mxl,CPDL,James Gibb,20900,2010-01-24,"https://www.cpdl.org/wiki/index.php/O_sing_unto_the_Lord,_Z_44_(Henry_Purcell)",redistributable_cpdl_terms
136,In convertendo (Giovanni Bernardino Nanino),1167,1167,1167.xml,In convertendo (Giovanni Bernardino Nanino),In_convertendo_Nanino_transposed.mxl,https://www.cpdl.org/wiki/images/8/8a/In_convertendo_Nanino_transposed.mxl,CPDL,James Gibb,28053,2013-01-16,https://www.cpdl.org/wiki/index.php/In_convertendo_(Giovanni_Bernardino_Nanino),redistributable_cpdl_terms
138,"Doleo super te, Absolon (Benedictus Appenzeller)",1170,1170,1170.xml,"Doleo super te, Absolon (Benedictus Appenzeller)",App-doleo.mxl,https://www.cpdl.org/wiki/images/c/c1/App-doleo.mxl,CPDL,André Vierendeels,22264,2010-09-07,"https://www.cpdl.org/wiki/index.php/Doleo_super_te,_Absolon_(Benedictus_Appenzeller)",redistributable_cpdl_terms
140,yczenie - Mdchens Wunsch (Frdric Chopin),1190,1190,1190.xml,yczenie - Mdchens Wunsch (Frdric Chopin),Nh_Chopin_Mädchens_Wunsch.mxl,https://www.cpdl.org/wiki/images/4/4e/Nh_Chopin_M%C3%A4dchens_Wunsch.mxl,Creative Commons Attribution Non-Commercial,Nikolaus Hold,53280,2019-02-13,https://www.cpdl.org/wiki/index.php/%C5%BByczenie_-_M%C3%A4dchens_Wunsch_(Fr%C3%A9d%C3%A9ric_Chopin),review_creative_commons_variant
141,When icicles hang by the wall (George Alexander Macfarren),1206,1206,1206.xml,When icicles hang by the wall (George Alexander Macfarren),When_icicles_MacFarren.mxl,https://www.cpdl.org/wiki/images/7/7f/When_icicles_MacFarren.mxl,CPDL,James Gibb,53480,2019-03-07,https://www.cpdl.org/wiki/index.php/When_icicles_hang_by_the_wall_(George_Alexander_Macfarren),redistributable_cpdl_terms
142,Wash me throughly (Samuel Sebastian Wesley),1208,1208,1208.xml,Wash me throughly (Samuel Sebastian Wesley),Wash_me_throughly_Wesley.mxl,https://www.cpdl.org/wiki/images/3/30/Wash_me_throughly_Wesley.mxl,CPDL,James Gibb,32318,2014-06-24,https://www.cpdl.org/wiki/index.php/Wash_me_throughly_(Samuel_Sebastian_Wesley),redistributable_cpdl_terms
143,Chi  fermato di menar sua vita (Orlando di Lasso),1209,1209,1209.xml,Chi  fermato di menar sua vita (Orlando di Lasso),Lasso-Chi_è_fermato_di_menar_sua_vita.mxl,https://www.cpdl.org/wiki/images/4/41/Lasso-Chi_%C3%A8_fermato_di_menar_sua_vita.mxl,CPDL,Willem Verkaik,50562,2018-07-20,https://www.cpdl.org/wiki/index.php/Chi_%C3%A8_fermato_di_menar_sua_vita_(Orlando_di_Lasso),redistributable_cpdl_terms
